face,demeanor,game,height,lightsaber,type
beard,calm,monopoly,51.96,green,Jedi
clean,calm,chutes,63.34,green,Jedi
clean,calm,clue,72.69,red,Sith
clean,calm,monopoly,69.11,red,Sith
beard,calm,chutes,65.19,red,Jedi
clean,calm,clue,75.4,red,Sith
clean,calm,monopoly,46.52,green,Jedi
clean,calm,clue,65.45,blue,Jedi
beard,calm,chutes,74.13,green,Jedi
clean,menacing,chutes,66.49,red,Sith
clean,calm,chutes,69.06,red,Sith
clean,menacing,monopoly,67.92,red,Sith
clean,menacing,clue,72.3,blue,Sith
clean,menacing,clue,64.03,red,Sith
clean,menacing,monopoly,65.38,red,Sith
beard,calm,chutes,56.01,green,Jedi
clean,calm,monopoly,78.3,blue,Jedi
beard,menacing,clue,69.24,green,Jedi
clean,calm,clue,75.27,green,Jedi
beard,calm,monopoly,75.14,red,Sith
clean,menacing,clue,75.17,red,Sith
clean,calm,clue,71.92,red,Sith
beard,menacing,chutes,64.36,red,Sith
beard,calm,clue,70.21,red,Sith
clean,menacing,clue,64.14,red,Sith
clean,calm,clue,88.32,blue,Jedi
clean,calm,chutes,68.65,red,Sith
clean,calm,monopoly,78.69,red,Sith
beard,calm,monopoly,51.94,blue,Jedi
clean,calm,chutes,73.21,red,Sith
beard,calm,chutes,65.74,blue,Sith
clean,calm,clue,64.88,red,Sith
clean,menacing,clue,74.62,blue,Sith
clean,menacing,clue,70.94,red,Sith
beard,calm,monopoly,78.74,blue,Jedi
clean,calm,clue,76.34,blue,Sith
beard,calm,chutes,61.71,green,Jedi
beard,calm,chutes,67.02,green,Jedi
clean,menacing,clue,60.19,red,Sith
clean,calm,monopoly,72.06,red,Sith
clean,calm,clue,72.56,red,Sith
beard,calm,chutes,70.66,blue,Jedi
clean,menacing,clue,70.8,red,Sith
clean,menacing,clue,69.2,red,Sith
clean,calm,monopoly,64.71,red,Sith
clean,calm,chutes,58.62,red,Sith
clean,menacing,monopoly,67.12,red,Sith
beard,calm,chutes,72.06,green,Jedi
clean,calm,chutes,69.82,red,Sith
beard,menacing,chutes,85.69,blue,Jedi
clean,calm,chutes,72.12,blue,Sith
beard,calm,clue,52.93,blue,Jedi
clean,calm,clue,70.54,red,Sith
beard,calm,monopoly,61.35,green,Jedi
beard,menacing,clue,76.06,red,Sith
clean,menacing,monopoly,65.84,green,Jedi
beard,calm,chutes,69.47,blue,Jedi
beard,calm,monopoly,70.22,red,Sith
beard,calm,chutes,85.87,green,Jedi
beard,menacing,chutes,63.95,blue,Jedi
clean,menacing,clue,70.48,red,Sith
clean,calm,monopoly,66.66,blue,Sith
beard,calm,chutes,71.64,blue,Jedi
clean,calm,chutes,70.91,red,Sith
clean,calm,monopoly,75.87,red,Sith
clean,menacing,monopoly,68.65,red,Sith
beard,calm,clue,70.55,red,Sith
clean,calm,clue,72.15,red,Sith
clean,calm,chutes,57.84,green,Jedi
beard,calm,monopoly,57.78,green,Jedi
clean,menacing,monopoly,69.45,red,Sith
clean,calm,monopoly,70.92,green,Sith
clean,calm,chutes,73.24,blue,Sith
beard,calm,monopoly,40.17,green,Jedi
clean,menacing,chutes,68.19,red,Sith
clean,calm,clue,79.45,red,Sith
beard,calm,clue,51.04,blue,Jedi
clean,calm,monopoly,78.45,red,Sith
beard,calm,monopoly,57.66,red,Jedi
clean,menacing,monopoly,64.75,red,Sith
clean,menacing,clue,73.11,red,Sith
clean,calm,monopoly,79.04,red,Sith
beard,calm,chutes,66.55,green,Jedi
clean,calm,chutes,69.06,red,Sith
beard,menacing,clue,78.38,red,Sith
beard,calm,monopoly,72.81,green,Jedi
beard,calm,clue,80.41,blue,Jedi
clean,calm,monopoly,75.37,red,Sith
clean,calm,clue,67.07,blue,Sith
clean,calm,monopoly,61.57,red,Sith
clean,calm,chutes,83.17,red,Sith
beard,calm,chutes,44.11,blue,Jedi
beard,menacing,clue,55.22,green,Jedi
clean,menacing,chutes,67.87,red,Sith
beard,calm,monopoly,66.8,red,Sith
beard,calm,clue,79.68,blue,Jedi
beard,menacing,monopoly,70.18,red,Sith
beard,calm,clue,67.83,green,Jedi
beard,calm,chutes,46.3,blue,Jedi
beard,calm,monopoly,46.29,green,Jedi
clean,calm,clue,65.2,red,Sith
clean,calm,clue,60.95,red,Sith
clean,menacing,clue,66.2,red,Sith
clean,calm,clue,72.68,green,Jedi
clean,menacing,clue,69.7,red,Sith
clean,menacing,chutes,63.5,red,Sith
clean,menacing,clue,64.31,red,Sith
beard,calm,chutes,73.53,green,Jedi
clean,menacing,chutes,70.06,red,Sith
clean,menacing,clue,73.56,blue,Sith
clean,calm,chutes,53.77,green,Jedi
beard,menacing,chutes,56.35,red,Sith
clean,menacing,monopoly,70.67,red,Sith
clean,calm,monopoly,64.05,red,Sith
clean,calm,chutes,63.8,red,Sith
beard,calm,monopoly,69.28,green,Jedi
clean,menacing,monopoly,63.83,red,Sith
beard,calm,monopoly,58.2,green,Jedi
clean,calm,clue,73.64,red,Sith
beard,calm,clue,79.54,green,Jedi
clean,menacing,chutes,75.72,red,Sith
beard,calm,clue,64.18,green,Jedi
beard,calm,monopoly,63.47,green,Jedi
clean,calm,monopoly,58.64,red,Sith
clean,calm,monopoly,71.28,red,Sith
beard,calm,chutes,60.26,green,Jedi
beard,calm,chutes,60.71,blue,Jedi
clean,calm,chutes,66.66,red,Sith
beard,menacing,monopoly,67.42,blue,Jedi
clean,calm,monopoly,68.19,red,Sith
clean,menacing,monopoly,72.49,red,Sith
clean,calm,clue,74.61,red,Sith
clean,menacing,monopoly,80.68,red,Sith
clean,calm,clue,64.56,red,Sith
clean,menacing,clue,70.76,red,Sith
beard,calm,monopoly,53.9,green,Jedi
beard,calm,chutes,61.1,green,Jedi
beard,calm,monopoly,77.35,red,Sith
beard,calm,monopoly,73.31,green,Jedi
beard,calm,monopoly,55.04,blue,Jedi
clean,menacing,chutes,68.24,red,Sith
beard,menacing,chutes,65.03,green,Jedi
beard,calm,monopoly,76.68,blue,Jedi
beard,calm,clue,69.45,blue,Jedi
clean,calm,clue,68.72,red,Sith
beard,calm,monopoly,60.16,blue,Jedi
beard,calm,chutes,37.77,green,Jedi
beard,calm,chutes,43.12,blue,Jedi
clean,calm,monopoly,66.86,red,Sith
clean,menacing,chutes,66.99,red,Sith
clean,calm,chutes,71.39,red,Sith
clean,menacing,monopoly,70.23,red,Sith
clean,menacing,clue,77.19,blue,Sith
clean,calm,chutes,69.14,red,Sith
clean,calm,clue,70.43,red,Sith
beard,calm,clue,81.54,green,Jedi
clean,calm,clue,73.84,red,Sith
clean,menacing,clue,69.2,blue,Sith
clean,calm,clue,63.77,blue,Sith
clean,calm,clue,68.11,red,Sith
beard,calm,monopoly,65.38,red,Sith
beard,calm,chutes,62.07,blue,Jedi
clean,calm,chutes,69.31,red,Sith
clean,calm,monopoly,67.83,red,Sith
beard,calm,clue,66.2,red,Sith
beard,menacing,chutes,57.0,blue,Jedi
clean,calm,monopoly,68.77,red,Sith
beard,calm,chutes,77.76,red,Jedi
beard,calm,chutes,51.89,blue,Jedi
beard,calm,monopoly,69.28,blue,Jedi
beard,calm,monopoly,56.85,blue,Jedi
clean,calm,monopoly,75.83,red,Sith
beard,calm,monopoly,48.73,green,Jedi
clean,calm,monopoly,68.17,red,Sith
clean,calm,monopoly,63.84,green,Jedi
beard,calm,monopoly,52.03,green,Jedi
beard,calm,chutes,85.11,green,Jedi
beard,calm,monopoly,77.4,green,Jedi
clean,menacing,monopoly,68.98,blue,Jedi
clean,menacing,monopoly,63.55,red,Sith
beard,calm,chutes,67.84,green,Jedi
clean,menacing,monopoly,65.89,red,Sith
clean,menacing,monopoly,65.49,red,Sith
clean,calm,monopoly,73.49,red,Sith
clean,menacing,chutes,73.33,red,Sith
clean,menacing,chutes,62.03,red,Sith
beard,calm,clue,55.94,blue,Jedi
beard,menacing,monopoly,69.57,red,Sith
beard,calm,monopoly,63.46,green,Jedi
beard,calm,monopoly,73.77,green,Jedi
clean,calm,monopoly,70.45,red,Sith
clean,menacing,monopoly,65.24,red,Sith
clean,menacing,chutes,67.49,blue,Sith
clean,calm,clue,67.66,red,Sith
clean,calm,clue,78.26,red,Sith
clean,calm,chutes,62.41,red,Sith
clean,menacing,chutes,56.98,blue,Jedi
beard,calm,monopoly,54.03,blue,Jedi
clean,calm,clue,68.66,red,Sith
beard,menacing,clue,70.85,red,Sith
clean,menacing,monopoly,67.94,red,Sith
beard,menacing,monopoly,72.46,red,Sith
clean,menacing,monopoly,90.18,blue,Jedi
beard,calm,chutes,54.06,blue,Jedi
clean,calm,clue,67.28,red,Sith
beard,calm,monopoly,56.06,green,Jedi
clean,menacing,chutes,70.57,red,Sith
beard,calm,chutes,44.11,blue,Jedi
beard,calm,chutes,44.67,green,Jedi
clean,menacing,monopoly,62.75,red,Sith
beard,calm,chutes,54.12,blue,Jedi
clean,menacing,clue,74.88,red,Sith
clean,menacing,monopoly,63.22,red,Sith
clean,menacing,monopoly,74.05,red,Sith
clean,menacing,chutes,66.1,blue,Sith
beard,calm,monopoly,48.71,blue,Jedi
clean,calm,monopoly,73.25,red,Sith
clean,calm,chutes,81.33,red,Sith
clean,menacing,monopoly,59.51,red,Sith
clean,calm,monopoly,64.67,blue,Jedi
clean,menacing,monopoly,74.76,red,Sith
clean,menacing,clue,75.94,red,Sith
clean,calm,monopoly,73.9,red,Sith
clean,calm,monopoly,68.22,red,Jedi
beard,menacing,chutes,65.57,red,Jedi
clean,menacing,clue,75.17,red,Sith
clean,calm,chutes,73.26,red,Sith
clean,calm,monopoly,71.51,red,Sith
clean,calm,chutes,66.84,red,Sith
clean,menacing,clue,72.79,red,Sith
clean,calm,monopoly,67.02,red,Sith
clean,calm,monopoly,67.25,red,Sith
beard,menacing,clue,41.82,green,Jedi
beard,calm,monopoly,62.38,green,Jedi
beard,calm,chutes,65.73,green,Jedi
clean,menacing,chutes,64.99,red,Sith
clean,calm,monopoly,66.08,red,Sith
clean,menacing,clue,74.44,red,Sith
clean,calm,chutes,78.7,blue,Sith
clean,calm,clue,73.7,blue,Sith
beard,calm,chutes,38.45,blue,Jedi
clean,calm,chutes,64.64,blue,Jedi
clean,menacing,clue,71.04,red,Sith
beard,calm,chutes,68.1,green,Jedi
clean,menacing,monopoly,74.49,blue,Sith
beard,calm,chutes,55.4,blue,Jedi
beard,menacing,chutes,52.95,blue,Jedi
beard,menacing,chutes,74.91,green,Jedi
clean,menacing,monopoly,70.1,red,Sith
clean,calm,chutes,80.13,green,Jedi
clean,calm,monopoly,79.88,red,Sith
beard,calm,monopoly,46.81,green,Jedi
clean,calm,monopoly,68.24,red,Sith
beard,calm,monopoly,69.53,red,Sith
clean,menacing,monopoly,73.54,red,Sith
beard,calm,chutes,69.46,green,Jedi
clean,calm,monopoly,67.21,red,Sith
clean,menacing,monopoly,66.94,red,Sith
clean,calm,monopoly,74.55,red,Sith
clean,menacing,monopoly,68.58,red,Sith
clean,calm,clue,70.53,red,Sith
beard,menacing,chutes,74.24,blue,Jedi
beard,menacing,chutes,89.24,blue,Jedi
beard,calm,chutes,79.28,green,Jedi
clean,calm,chutes,73.36,red,Sith
beard,calm,chutes,77.59,blue,Jedi
beard,calm,monopoly,59.6,green,Jedi
clean,menacing,chutes,66.89,red,Sith
clean,menacing,clue,70.74,red,Sith
clean,menacing,monopoly,76.68,red,Sith
clean,calm,clue,61.73,red,Sith
beard,calm,monopoly,64.81,blue,Jedi
beard,calm,monopoly,49.66,blue,Jedi
clean,menacing,chutes,72.44,red,Sith
clean,menacing,chutes,71.77,red,Sith
clean,calm,monopoly,65.67,green,Sith
beard,calm,clue,59.54,green,Jedi
clean,menacing,clue,61.67,red,Sith
clean,menacing,clue,70.78,red,Sith
beard,calm,chutes,70.69,red,Sith
clean,calm,chutes,57.78,green,Jedi
clean,calm,clue,78.72,blue,Jedi
clean,calm,monopoly,69.99,red,Sith
clean,calm,chutes,64.2,green,Jedi
clean,calm,chutes,68.4,red,Sith
clean,menacing,clue,65.76,red,Sith
beard,calm,clue,56.08,green,Jedi
clean,menacing,monopoly,81.55,red,Sith
clean,menacing,monopoly,72.61,red,Sith
clean,menacing,clue,79.95,red,Sith
clean,calm,chutes,78.26,blue,Jedi
beard,calm,monopoly,44.22,green,Jedi
clean,calm,chutes,70.86,red,Sith
beard,calm,chutes,48.14,green,Jedi
beard,calm,monopoly,40.94,blue,Jedi
clean,menacing,monopoly,65.22,red,Sith
clean,calm,chutes,69.43,red,Sith
beard,calm,monopoly,71.22,green,Jedi
clean,menacing,chutes,66.07,red,Sith
clean,menacing,clue,61.77,red,Sith
beard,calm,clue,71.44,green,Jedi
beard,calm,clue,77.86,red,Sith
beard,calm,clue,79.77,green,Jedi
clean,menacing,clue,68.17,green,Sith
clean,calm,chutes,40.57,blue,Jedi
clean,calm,monopoly,77.41,red,Sith
beard,calm,monopoly,42.62,blue,Jedi
clean,calm,monopoly,69.9,red,Sith
clean,menacing,chutes,72.03,red,Sith
beard,calm,clue,49.08,green,Jedi
beard,menacing,clue,79.16,blue,Jedi
clean,menacing,monopoly,68.23,blue,Sith
clean,calm,monopoly,74.01,blue,Jedi
clean,menacing,monopoly,69.71,red,Sith
beard,calm,chutes,87.35,green,Jedi
clean,calm,chutes,74.6,red,Sith
beard,menacing,chutes,44.07,blue,Jedi
clean,menacing,chutes,71.13,blue,Sith
clean,menacing,monopoly,69.86,red,Sith
clean,calm,monopoly,56.4,blue,Jedi
beard,calm,clue,78.54,red,Sith
beard,calm,chutes,53.78,green,Jedi
clean,calm,monopoly,62.17,red,Jedi
clean,calm,monopoly,58.14,red,Sith
clean,calm,monopoly,64.42,red,Sith
clean,menacing,monopoly,76.3,red,Sith
clean,calm,monopoly,74.98,blue,Jedi
beard,calm,chutes,67.96,red,Sith
beard,calm,clue,67.62,blue,Jedi
beard,menacing,clue,67.71,red,Sith
clean,calm,clue,72.96,red,Sith
clean,calm,chutes,70.66,red,Sith
beard,calm,clue,59.86,red,Sith
clean,calm,chutes,67.19,red,Sith
beard,calm,clue,68.22,green,Jedi
beard,calm,clue,54.75,blue,Jedi
clean,calm,monopoly,48.54,green,Jedi
beard,calm,clue,82.65,green,Jedi
beard,calm,monopoly,65.53,blue,Jedi
clean,menacing,chutes,72.24,red,Sith
beard,calm,monopoly,69.61,blue,Jedi
clean,calm,clue,70.43,red,Sith
beard,calm,monopoly,65.24,green,Jedi
beard,calm,chutes,93.03,blue,Jedi
clean,menacing,chutes,74.72,red,Sith
beard,menacing,monopoly,79.38,red,Sith
clean,menacing,chutes,69.88,red,Sith
clean,calm,monopoly,57.12,green,Jedi
clean,calm,clue,68.93,red,Sith
beard,calm,monopoly,55.16,green,Jedi
clean,menacing,clue,76.64,blue,Sith
beard,menacing,monopoly,65.6,blue,Jedi
clean,calm,clue,67.85,blue,Sith
beard,calm,clue,72.21,blue,Jedi
clean,menacing,monopoly,61.05,red,Sith
beard,calm,monopoly,75.26,green,Jedi
clean,calm,monopoly,65.47,blue,Sith
clean,menacing,clue,65.36,red,Sith
clean,menacing,monopoly,64.14,red,Sith
beard,calm,chutes,70.01,red,Sith
clean,menacing,clue,70.77,red,Sith
clean,calm,monopoly,62.28,red,Sith
clean,menacing,chutes,74.84,red,Sith
clean,menacing,monopoly,63.78,red,Sith
clean,menacing,chutes,80.51,red,Sith
beard,calm,chutes,69.01,green,Jedi
clean,calm,monopoly,63.46,red,Sith
clean,calm,monopoly,64.39,blue,Jedi
clean,calm,chutes,70.74,red,Sith
clean,menacing,monopoly,69.57,red,Sith
clean,calm,chutes,81.05,blue,Jedi
clean,menacing,chutes,63.38,red,Sith
clean,calm,chutes,81.94,red,Sith
clean,menacing,monopoly,71.49,red,Sith
clean,calm,chutes,52.31,blue,Jedi
beard,calm,monopoly,80.3,green,Jedi
clean,calm,chutes,68.12,red,Sith
clean,menacing,clue,65.37,red,Sith
clean,calm,monopoly,69.9,red,Sith
clean,menacing,monopoly,69.02,green,Sith
beard,calm,monopoly,76.87,red,Sith
beard,calm,chutes,51.04,green,Jedi
beard,calm,monopoly,60.32,blue,Jedi
beard,calm,monopoly,53.56,green,Jedi
clean,calm,chutes,75.9,red,Sith
clean,calm,monopoly,68.58,red,Sith
clean,menacing,monopoly,68.55,red,Sith
beard,calm,chutes,57.5,green,Jedi
clean,calm,chutes,59.19,blue,Jedi
beard,calm,chutes,28.66,blue,Jedi
clean,menacing,monopoly,74.42,red,Sith
beard,calm,chutes,79.78,blue,Jedi
clean,calm,chutes,65.14,green,Jedi
clean,calm,monopoly,70.29,red,Sith
clean,calm,monopoly,69.69,green,Sith
beard,calm,clue,67.9,blue,Jedi
clean,menacing,monopoly,74.93,red,Sith
clean,calm,monopoly,67.79,red,Sith
clean,calm,clue,65.94,red,Sith
clean,calm,clue,61.42,red,Sith
clean,menacing,clue,66.69,red,Sith
clean,menacing,clue,62.12,red,Sith
beard,calm,clue,70.41,green,Jedi
beard,calm,chutes,60.56,green,Jedi
clean,calm,clue,64.75,blue,Jedi
beard,calm,chutes,68.99,red,Jedi
clean,menacing,clue,64.62,green,Jedi
clean,menacing,clue,77.72,green,Jedi
beard,calm,monopoly,69.9,red,Sith
beard,calm,chutes,58.77,blue,Jedi
beard,calm,clue,70.18,red,Sith
beard,calm,chutes,50.52,blue,Jedi
clean,calm,monopoly,72.44,red,Sith
clean,calm,chutes,67.2,red,Sith
clean,menacing,chutes,71.65,red,Sith
clean,calm,chutes,63.3,red,Sith
beard,calm,clue,70.66,green,Jedi
beard,calm,clue,66.88,green,Jedi
clean,menacing,chutes,68.36,blue,Sith
clean,calm,clue,69.24,red,Sith
clean,menacing,clue,68.97,blue,Sith
beard,calm,monopoly,54.9,green,Jedi
clean,calm,clue,69.39,red,Sith
clean,menacing,clue,70.25,red,Sith
clean,menacing,monopoly,77.36,red,Sith
clean,calm,chutes,67.02,red,Sith
clean,menacing,clue,70.23,red,Sith
beard,calm,chutes,70.9,blue,Jedi
clean,menacing,monopoly,85.16,red,Sith
beard,calm,clue,71.98,green,Jedi
clean,calm,clue,70.04,blue,Sith
clean,calm,monopoly,66.37,red,Sith
clean,menacing,clue,64.11,red,Sith
clean,calm,monopoly,62.53,red,Sith
beard,calm,monopoly,58.91,green,Jedi
clean,menacing,chutes,70.9,red,Sith
clean,calm,clue,73.03,red,Sith
clean,menacing,chutes,69.82,red,Sith
clean,menacing,clue,68.39,red,Sith
clean,calm,clue,86.85,red,Sith
clean,calm,clue,70.86,red,Sith
clean,calm,monopoly,67.16,red,Sith
beard,menacing,monopoly,63.88,red,Sith
clean,calm,monopoly,69.61,blue,Jedi
clean,menacing,monopoly,72.94,red,Sith
clean,calm,clue,73.33,red,Sith
beard,calm,clue,71.37,red,Sith
clean,menacing,clue,71.33,red,Sith
clean,calm,monopoly,64.79,red,Sith
clean,menacing,monopoly,79.29,red,Sith
clean,calm,monopoly,71.38,red,Sith
beard,menacing,clue,73.81,red,Sith
clean,menacing,chutes,62.84,red,Sith
beard,calm,chutes,66.5,blue,Jedi
clean,menacing,chutes,71.4,blue,Sith
clean,menacing,clue,71.17,red,Sith
clean,calm,clue,69.62,blue,Jedi
beard,calm,monopoly,69.91,red,Sith
beard,calm,chutes,94.29,blue,Jedi
beard,calm,chutes,64.45,blue,Jedi
clean,calm,chutes,62.96,red,Sith
beard,menacing,monopoly,68.86,blue,Sith
beard,calm,clue,65.79,blue,Jedi
clean,calm,chutes,69.61,red,Sith
beard,calm,chutes,80.69,green,Jedi
clean,menacing,monopoly,69.11,red,Sith
beard,menacing,chutes,67.9,blue,Jedi
clean,calm,clue,70.11,blue,Jedi
beard,menacing,chutes,74.76,green,Jedi
clean,menacing,clue,73.03,red,Sith
clean,calm,clue,79.39,blue,Sith
clean,menacing,monopoly,68.67,red,Sith
clean,calm,monopoly,68.77,red,Sith
clean,menacing,chutes,77.72,red,Sith
clean,calm,monopoly,61.64,green,Jedi
clean,menacing,chutes,67.21,red,Sith
clean,menacing,clue,73.38,blue,Sith
beard,calm,clue,70.23,green,Jedi
clean,calm,clue,68.7,red,Sith
beard,calm,chutes,32.79,blue,Jedi
clean,calm,monopoly,60.0,blue,Sith
clean,calm,chutes,45.86,green,Jedi
beard,menacing,monopoly,58.58,green,Jedi
clean,calm,monopoly,62.33,blue,Jedi
clean,calm,monopoly,68.4,red,Sith
beard,menacing,chutes,75.64,red,Sith
beard,calm,monopoly,66.56,blue,Jedi
clean,calm,monopoly,63.92,red,Sith
beard,calm,monopoly,55.65,blue,Jedi
beard,calm,monopoly,62.11,blue,Jedi
clean,menacing,clue,80.29,red,Sith
clean,calm,clue,89.0,green,Jedi
beard,calm,clue,54.94,blue,Jedi
beard,calm,chutes,77.34,green,Jedi
clean,calm,monopoly,59.4,green,Jedi
clean,menacing,monopoly,68.84,red,Sith
beard,calm,clue,60.17,blue,Jedi
beard,calm,chutes,52.63,blue,Jedi
beard,calm,chutes,65.6,green,Jedi
clean,calm,chutes,71.0,red,Sith
clean,menacing,chutes,64.44,red,Sith
beard,calm,chutes,53.15,blue,Jedi
beard,calm,monopoly,63.94,green,Jedi
clean,menacing,monopoly,68.38,blue,Sith
clean,calm,clue,79.0,blue,Sith
beard,menacing,monopoly,46.26,green,Jedi
clean,menacing,monopoly,77.65,red,Sith
clean,calm,chutes,60.22,red,Sith
clean,menacing,chutes,82.31,red,Sith
clean,calm,chutes,69.55,red,Sith
beard,calm,chutes,69.34,green,Jedi
beard,calm,monopoly,45.82,green,Jedi
clean,calm,monopoly,66.79,green,Jedi
beard,calm,monopoly,75.85,blue,Jedi
beard,calm,monopoly,43.2,green,Jedi
clean,calm,clue,69.14,blue,Sith
clean,calm,monopoly,70.81,red,Sith
clean,menacing,monopoly,68.75,green,Sith
beard,calm,chutes,68.72,blue,Jedi
beard,calm,clue,48.35,blue,Jedi
clean,menacing,monopoly,71.33,red,Sith
clean,menacing,clue,69.43,red,Sith
beard,calm,chutes,40.37,blue,Jedi
clean,calm,monopoly,70.55,red,Sith
clean,calm,chutes,65.62,blue,Sith
beard,calm,chutes,50.46,blue,Jedi
clean,menacing,monopoly,68.21,red,Sith
clean,calm,monopoly,66.25,green,Sith
clean,menacing,clue,66.09,red,Sith
clean,calm,clue,51.3,blue,Jedi
clean,calm,chutes,69.46,red,Sith
clean,calm,monopoly,75.86,green,Jedi
beard,calm,monopoly,54.57,blue,Jedi
clean,menacing,clue,63.96,red,Sith
clean,menacing,clue,68.97,blue,Sith
beard,calm,chutes,68.96,green,Jedi
clean,menacing,clue,75.96,red,Sith
beard,menacing,clue,45.6,blue,Jedi
beard,calm,clue,66.22,blue,Jedi
beard,calm,chutes,66.78,blue,Jedi
clean,calm,monopoly,76.7,red,Sith
clean,menacing,monopoly,75.32,red,Sith
clean,calm,clue,72.39,red,Sith
beard,calm,monopoly,73.89,green,Jedi
clean,calm,monopoly,70.45,red,Sith
clean,menacing,chutes,65.07,red,Sith
beard,calm,clue,76.39,blue,Jedi
clean,menacing,clue,65.33,red,Sith
clean,calm,monopoly,54.55,blue,Jedi
clean,menacing,monopoly,64.13,red,Sith
beard,calm,chutes,60.46,green,Jedi
beard,calm,chutes,72.02,green,Jedi
clean,calm,clue,80.59,blue,Jedi
clean,calm,monopoly,74.59,red,Sith
clean,calm,clue,65.18,green,Sith
clean,calm,chutes,69.97,red,Sith
clean,menacing,monopoly,66.38,red,Sith
clean,menacing,monopoly,66.2,red,Sith
beard,calm,chutes,45.78,green,Jedi
beard,menacing,chutes,66.8,red,Sith
beard,menacing,clue,66.37,red,Sith
beard,calm,chutes,72.59,blue,Jedi
beard,calm,monopoly,44.53,green,Jedi
clean,menacing,clue,77.69,red,Sith
beard,calm,monopoly,57.85,green,Jedi
clean,calm,chutes,44.18,green,Jedi
beard,calm,clue,49.26,green,Jedi
clean,calm,clue,69.02,blue,Sith
clean,menacing,monopoly,62.63,blue,Sith
clean,calm,monopoly,70.47,red,Sith
clean,menacing,monopoly,64.67,red,Sith
beard,calm,monopoly,87.19,blue,Jedi
beard,calm,chutes,64.13,red,Sith
beard,calm,chutes,66.58,blue,Jedi
clean,menacing,clue,65.98,red,Sith
clean,menacing,clue,57.58,blue,Sith
beard,menacing,clue,70.6,blue,Jedi
beard,calm,monopoly,53.94,blue,Jedi
beard,calm,monopoly,62.86,blue,Jedi
clean,calm,monopoly,71.08,red,Sith
beard,calm,clue,67.84,blue,Jedi
beard,calm,monopoly,57.18,blue,Jedi
clean,calm,chutes,72.45,red,Sith
beard,calm,clue,72.11,red,Jedi
beard,calm,monopoly,82.83,blue,Jedi
beard,calm,chutes,67.76,green,Jedi
clean,menacing,chutes,77.16,red,Sith
beard,calm,clue,45.38,blue,Jedi
clean,calm,monopoly,68.73,blue,Sith
beard,menacing,monopoly,70.15,green,Jedi
clean,calm,monopoly,75.42,green,Jedi
clean,calm,monopoly,60.57,blue,Jedi
clean,calm,clue,62.94,red,Sith
clean,calm,monopoly,63.53,red,Sith
clean,calm,chutes,66.88,red,Sith
clean,menacing,clue,77.1,red,Sith
clean,calm,monopoly,71.06,red,Sith
beard,calm,clue,68.52,green,Jedi
beard,menacing,monopoly,66.26,red,Sith
clean,calm,clue,63.01,red,Sith
clean,calm,chutes,80.81,blue,Jedi
clean,menacing,chutes,70.43,red,Sith
clean,calm,clue,70.48,red,Sith
clean,calm,clue,68.44,red,Sith
clean,calm,clue,67.33,red,Sith
clean,calm,clue,67.35,red,Sith
clean,calm,chutes,63.26,red,Sith
beard,calm,monopoly,72.13,green,Jedi
clean,menacing,monopoly,71.92,red,Sith
